Name,Centers & Clinics,Entry Date
th,Hyperbaric Oxygen Therapy,01/04/2025
th,BPH Clinic : Kreua Sahaphat,22/04/2025
th,Hospital Director Office,04/04/2025
th,Prestige Wellness Center,14/04/2025
th,Labour Room,19/04/2025
th,Nursery,24/04/2025
th,Heart Center,28/04/2025
th,ICU Neurosciences,21/04/2025
th,Emergency Medical Service Center,23/04/2025
th,Breast Center,13/04/2025
th,BPH Clinic : Bo Win,06/04/2025
th,Hearing Speech Balance Tinnitus Center,07/04/2025
th,KOH LARN Clinic,20/04/2025
th,Oncology Center,06/04/2025
th,Neonatal Intensive Care Unit (NICU),17/04/2025
th,Neonatal Intensive Care Unit (NICU),09/04/2025
th,Jomtien Hospital,10/04/2025
th,Ear Nose Throat Center,30/04/2025
th,Oncology Center,09/04/2025
th,Intermediate Intensive Care,30/04/2025
th,Emergency Medical Service Center,06/04/2025
th,Mental Health Center,29/04/2025
th,U-Tapao Clinic,10/04/2025
th,Emergency Medical Service Center,18/04/2025
th,Neuroscience Center,24/04/2025
th,Jomtien Hospital,19/04/2025
th,ICU - Trauma and Surgery,26/04/2025
th,Ear Nose Throat Center,20/04/2025
th,Internal Medicine Center,12/04/2025
th,Prestige Wellness Center,22/04/2025
th,Diabetes Mellitus (DM) & Endocrinology Center,24/04/2025
th,Ear Nose Throat Center,17/04/2025
th,Hyperbaric Oxygen Therapy,20/04/2025
th,Fertility Center,03/04/2025
th,Hemodialysis Center,19/04/2025
th,Labour Room,10/04/2025
th,Emergency & Accident Dept(JTH),23/04/2025
th,Hemodialysis Center,17/04/2025
th,Gastrointestinal & Liver Center,28/04/2025
th,BPH Clinic : Kreua Sahaphat,05/04/2025
th,Gastrointestinal,26/04/2025
th,Dental Cosmetic and Implant Center,01/04/2025
th,Breast Feeding Clinic,06/04/2025
th,Neonatal Intensive Care Unit (NICU),29/04/2025
th,ICU Neurosciences,13/04/2025
th,Hyperbaric Oxygen Therapy,25/04/2025
th,Gastrointestinal,02/04/2025
th,Cardiac Care Unit,18/04/2025
th,Neonatal Intensive Care Unit (NICU),10/04/2025
th,BPH Clinic : Kreua Sahaphat,14/04/2025
th,Wound Care Unit,06/04/2025
th,Women's Health Center,20/04/2025
th,Diagnostic Imaging and Interventional Radiology Center,06/04/2025
th,Jomtien Hospital,09/04/2025
th,Diagnostic Imaging Dept (JTH),03/04/2025
th,BPH Clinic : Kreua Sahaphat,24/04/2025
th,Diagnostic Imaging Dept (JTH),20/04/2025
th,Jomtien Hospital,29/04/2025
th,KOH LARN Clinic,04/04/2025
th,Child Health Center,30/04/2025
th,Neonatal Intensive Care Unit (NICU),27/04/2025
th,Breast Feeding Clinic,25/04/2025
th,Cardiac Care Unit,11/04/2025
th,Pediatric Intensive Care Unit or PICU,22/04/2025
th,Nursery,20/04/2025
th,ICU Medicine,12/04/2025
th,Nutrition Therapeutic,06/04/2025
th,Neonatal Intensive Care Unit (NICU),02/04/2025
th,Emergency Medical Service Center,07/04/2025
th,Hospital Director Office,03/04/2025
th,Cardiac Cath Lab,01/04/2025
th,Child Health Center,28/04/2025
th,Neonatal Intensive Care Unit (NICU),15/04/2025
th,Gastrointestinal,04/04/2025
th,Rehabilitation Center,11/04/2025
th,Neonatal Intensive Care Unit (NICU),09/04/2025
th,Hearing Speech Balance Tinnitus Center,11/04/2025
th,Hearing Speech Balance Tinnitus Center,13/04/2025
th,Ambulance Service,07/04/2025
th,Eye Center,13/04/2025
th,Heart Center,18/04/2025
th,ICU Neurosciences,16/04/2025
th,Neuroscience Center,16/04/2025
th,Breast Feeding Clinic,01/04/2025
th,Neuroscience Center,04/04/2025
th,ICU Medicine,10/04/2025
th,Operating Room,30/04/2025
th,Gastrointestinal & Liver Center,04/04/2025
th,Prestige Wellness Center,01/04/2025
th,Nursery,28/04/2025
th,Ambulance Service,17/04/2025
th,Prestige Wellness Center,28/04/2025
th,Pediatric Intensive Care Unit or PICU,24/04/2025
th,Jomtien Hospital,02/04/2025
th,Health Promotion Center,24/04/2025
th,Intermediate Intensive Care,30/04/2025
th,Medical Staff Organization,30/04/2025
th,ICU Medicine,20/04/2025
th,Ear Nose Throat Center,11/04/2025
th,Wound Care Unit,04/04/2025
